speaker,response
oh very clever but still rcist,duly noted steve from wichita
i see what youre doing youre appealing to the neuroscientific researcher in me,you see right through me dont you
you know why the nintendo ds and the psp now the gameboy,aw for petes sake can we go now
hi im penny this is my friend sheldon,were not friends at the moment depends on how this goes
oh i didnt tell you youre banished from the cheesecake factory,why
um what,there are takeout containers in the trash can
and you dont think thats too rough,were just standing behind her its not like were gonna say boo and scare her
its nice theyre getting exercise,although now that i think about it leonard would never go swimming in public without his swim shirt
oh now hes a genius all you ever do is make fun of him and engineering,leonard please his mother just died
well you shouldnt,theres just no pleasing you is there leonard you werent happy with my previous approach to dealing with her so i decided to employ operant conditioning techniques building on the work of thorndike and b f skinner by this time next week i believe i can have her jumping out of a pool balancing a beach ball on her nose
i dont have a bath thermometer,fine then im going to draw you a nervewracking bath of indeterminate temperature
what,rajs television i just realized were about to spend an evening watching a plasma screen with a cluster of dead pixels in the upper lefthand corner
how many times have i asked you not to do that,counting this instance 317
im sorry so you never went outside,or had a single piece of fruit
all right more sailor moon for me,i just threw up the bachelor party
oh im sorry were out we have muffins,they sound delicious but this money is earmarked for scones
lucky,yes lucky
you forbid it,if im not taking credit for our work then nobody is
how so,it has been some time since weve had a woman take her clothes off in our apartment
no,roommate agreement section 27 paragraph 5 the roommate agreement like the american flag cannot touch the ground
sure,question one where are my pants
borrowed the trick is to carry it out to your car like you own it,excuse me oh amys at the dry cleaners and shes made a very amusing pun i dont care for perchloroethylene and i dont like glycol ether get it she doesnt like glycol ether sounds like either lol
yes and i think we should go anyway,no cant do it sorry quinto youre going back
what is this,its a questionnaire i devised im having some difficulty bonding with a colleague at work so im doing a little research to better understand why my current friends like me
wolowitz is with his new girlfriend if you had let me invite penny then you would have had your fourth,have you seen penny eat chinese food she uses a fork and she double dips her egg rolls
what about loop quantum gravity,oh duchess look at me my quantum gravitys positively loopy
you mean like where shes nice to your face okay got it bye hey boyfriend,cant talk spitball probably gonna die
all right lets keep it simple how about darts,no thats not fair either
really boy youd think you could trust a horde of hungarian barbarians,please penny enough i have to sleep
why do you keep saying zack,because you keep saying who
sure,fascinating
um raj honey you say you cant talk to women but youve been talking to me,and now well never know
well youre welcome,you robbed me of my greatest achievement
lobster traps,yes thats how velma and scooby smuggled shaggy into the old lighthouse
oh leonard,its just a heartshaped locket with a picture of leonards face in it he got it at the mall on clearance now move move move
what is going on,oh uh i need to keep my anxiety at the right level so im using darth vader the joker and godzillas roar to keep me in that sweet spot uh i tried including taylor swift in the mix but turns out i love her
unbelievable you have some nerve showing up here just to schmooze with the tenure committee,youre here
oh you mean passiveaggressive like posting pictures of you and your wife eating cosmopolitan balls that you know belong in my mouth,perhaps howard meant passiveaggressive like asking our group to help on your project and then only choosing leonard
im leonard this is sheldon,from the intercom
yeah,i see youre drinking wine
great,or fornication yeah but that has judgmental overtones so ill hold that in reserve
youre talking about leonard,no no shillyshally has red hair and uh he briefly served in the mexican navy anyway despite the fact that he has a girlfriend shillyshally has been the recipient of inappropriate workplace flirtations from a young lady
sure whats up,well now that ive given up string theory im struggling to find my next area of focus so in your professional opinion which of these areas do you think is the most promising
youre kidding,i may be an alien but i have urges if amy wants to copulate by firing her eggs into space well then i will happily catch them with the reproductive sac on my upper flermin im not the best at reading facial cues but i can see that youre a little turned on
great happy to be back,well since youre here id like to get your opinion on something in honour of black history month i portrayed george washington carver in a loving tribute that my roommate called wildly rcist what do you think hi my name is george
im just saying you can catch more flies with honey than with vinegar,you can catch even more flies with manure whats your point
its not surprising that the story has captured the attention of our little circle of friends are you familiar with meme theory,im familiar with everything but go on
okay thats morbid send it back,i cant send it back i had it engraved here lie the ashes of leonard hofstadter he thought he was right but his room mate knew better
well now i wish i had the ability to make that stuff easier for you,thank you
yep,great you know this is how anything can happen thursday turns into it wont stop coming up friday
i dislocated my shoulder,all right and how did the accident occur
how do i know what you said damn you and your noisecancelling breasts,hello
what was i supposed to do he needed a place to sleep it off,youre soft this worlds going to chew you up and spit you out
well why why do you think im here,i suppose it has something to do with your recent passing
yeah,howards allergic to peanuts how can i use that against him
fine just hold on mommys on the phone sorry weve cut the monkeys down to one cigarette a day so things are a little intense makes me miss my marijuanaabusing flatworms those guys were mellow,good news uh the latest episode of fun with flags is online
are you crazy we cant go down an empty elevator shaft,fine if you dont want to proceed then you forfeit the bet and ill take possession of your fantastic four
come on sheldon were going to be late,i cant go in today im sick
no,yes
oh come on the only reason youre the lead author is because we went alphabetically,i let you think we went alphabetically to spare you the humiliation of dealing with the fact that it was my idea not to put too fine a point on it but i was throwing you a bone youre welcome
if the word is peepee just do it,leonard you are my friend and friends support their friends apparently so i am withdrawing my objection to your desire to have a relationship with leslie
hi,your surprise confuses me i live here
sheldon i was up all night using the new freeelectron laser for my xray diffraction experiment,did the laser accidentally burn out your retinas
i dont know,this is dr sheldon cooper experimental log wormhole generator test fortyfour
because i love penny and want to give her the life she deserves,i see youre putting your future brides happiness above mine
could you be a little more specific,ethyl alcohol 40 millilitres
since we all agree episode i isnt our favourite maybe we just skip it this time,howard i think you of all people should avoid espousing the principle that if something is not our favourite we should just get rid of it
really,the best way to achieve a goal is to devote 100 of your time and energy to it when i decided i was going to be a physicist i didnt take some other job in case it didnt work out which wasnt easy because there was a lot of pressure from ms pearson for me to be chalk monitor that year
sheldon think this through youre going to ask howard to choose between sex and halo,no im going to ask him to choose between sex and halo 3 as far as i know sex has not been upgraded to include highdef graphics and enhanced wapon systems
hold on whats in it for us,well i suppose
youre right so it would be cruel to mention that after he finished signing autographs stan lee took stuart and us out for gelato,you had gelato with stan lee
yeah apparently um im here whenever when whenever you need me,thats nice
lesley no nooh what are you kidding,he asked her out once it was an embarrassing failure
oh imagine that,sarcasm goodbye
okay im going to ask you one more time we did the work together lets present the paper together,and im telling you for the last time its pandering its undignified and bite me
itll give you confidence you know sometimes when im feeling all stressed out about something i go out and buy a cute top or a fun skirt and i have a whole new outlook on life,dont you eventually realize youre just the same stressed out person in a cute top or a fun skirt
godspeed,thank you but your sentiments may be premature
ugh,penny
can i ask a question about your roommate,hes an odd duck isnt he
how can you not be happy youre tall thin and famous oh my god im jealous of sheldon,look youre gonna be doing this stuff for a while youre just gonna have to find a way to get used to it
now i rotate it horizontally on its centre axis until the lights turn green,initiating rotation sequence dont look at me initiate oh what does red and yellow mean
whats mrs rileys chicken,a chicken that was owned by mrs riley
they developed the relationship closeness inventory which predicts the stability of a couple based on behaviour,yeah not to be confused with the french fry goodness inventory thats pure cooper
you dont say,but i suppose it wouldnt hurt to know whos on the committee lets see oh janine davis oh dear
well you should talk to stuart,i canât because that was a lie yours was broken in an earthquake and thatâs a lie
weâre not wearing cowboy hats sheldon it looks ridiculous,and i suppose my boots and spurs are ridiculous too
nary an argument nary,well that means not one or not any maybe instead of a table you should buy a dictionary well i dont know if i won that but at least hes upset
i dont mean to be rude sheldon but uh my life is kind of falling apart right now,your life the university is making me do string theory and my girlfriend loves me so much she wants to live with me and now the place i need to go when im sad is damp and smells funny
really oh look at that i have a girlfriend,if i am permitted to speak again dr sheldon cooper for the win
is somebody working on that,i was going to i planned on giving it to myself on my 300th birthday
well well well did you hear that sheldon,im sorry i was trying to think of what rhymes with nose of the aardvark
but i do have something special for you close your eyes,oh i hope its a train
what the hell,leonard
yeah well maybe we do,im willing to if you guys are
read rest travel i hear afghanistan is nice this time of year,sarcasm
well then dont order popcorn,no popcorn at the mo listen to yourself
you made an arithmetic mistake on page two it was quite the boner,no no ththththat cant be right ii dont make arithmetic mistakes
see better with the accent,and send
sheldon,all right last night you gave me some excellent advice regarding my problem here at home you kissed me and then vomited on and off for 40 minutes following which you passed out on your bathroom floor i then folded a towel under your head as a pillow set your oven clock to the correct time because it was driving me crazy and i left
because last month i sent the electric company a starbucks gift card an apology note and a few snapshots of me in a bra,power failure implementing powerfailure protocol
my moneys on tuck and roll,im confused i thought you were involved in some sort of socially intimate pairing with leslie winkle
dr cooper,thats right good job hello uh you wanted to see me
its not like that im watching someones tv the good wife is on i tell you this is my new greys anatomy,leonard leonard what is that what is that
i dont think the smithsonians gonna want your marker,and thats why youre not on a list for my tree fort ooh guess whos getting an article written about him in physics today ill give you a hint you measured the diameter of his suspicious mole yesterday
next game lets switch helmets,no id look silly in that helmet
weve got to be missing something lets start again the movie is playing here at 7,right these theatres have to be eliminated
thank you what did he say,he said they made the editorial decision to only cite the lead scientist
oh god bless you dear sheldon sit down lets talk,all right but youre not fooling me whenever you say we have to talk it means you want me to listen
fine then i guess its two against two how do we decide,actually its three against one
bye,over and out
fine then well just stay here and do it,well you didnt suggest a beach house
interesting ill have to have you over for spaghetti some night,im hungry now
where did he go were looking for sheldon not marmaduke,you whistled
interesting that you would bring that up when i might go work on a boat,well thats the thing about factoids theyre interesting
oh so the dialogue offends you,i would hardly call that dialogue
easy easy okay now weve got an inclined plane the force required to lift is reduced by the sine of the angle of the stairs call it thirty degrees so about half,exactly half
sheldon it was just a little tremor,a little tremor that turns routine sinus surgery into a frontal lobotomy oh i dont care for this at all oh i need to see hes okay
i agree,professor proton its an honour to meet you
pennys still sleeping,every saturday since we have lived in this apartment i have awakened at 6
no way,yeah well its true but the larger size of the xbox one may keep it from overheating
what the fwig cooper we were supposed to meet in my office a half an hour ago,and yet now youre in my office point cooper welcome to the thunderdome kripke
sheldon you look so handsome,thank you
it never is is it,at this moment our relationship exists in two mutually contradictory states until you either do not go or go to wil wheatons party you are simultaneously my friend and not my friend im characterizing this phenomenon as schrodingers friendship
sheldon what are you doing here,im sorry did i wake you
yes you are youre meant to learn how to drive please learn how to drive,no no leonard im meant for greater things like unraveling the mysteries of the universe not determining when its safe to pass a stopped school bus on a country road
okay okay uh the analogy between spacetime and a supercooled fluid is either meaningless or false i wish this blog would devote itself to real science instead of wasting our time with crackpot wannabe theoreticians in a rush to publish,who wrote that
i heard of em didnt know they were a band sheldon shes gone you can turn off the blender,has your relationship reached its inevitable ugly end
we could snap a rubber band on our wrists every time we get sidetracked,mmm not bad you know in medieval times idle chatter was punished with a device called the scolds bridle its an iron cage thats locked around the head and pierces the tongue
and what does fortythree mean,you dont need to know you dont deserve to know and you will never know
what the hell are bus pants,they are pants one wears over ones regular pants when one sits on bus seats that other people have previously sat on but perhaps from your lofty heights atop the corporate ladder youve lost touch with the struggles of the common man
you ready,yes
fine ricardo and tondelaya,okay look its not really about ricardo and tondelaya it is really about her boss who doesnt quite know how to handle this situation and could use your advice which is surprising because dr einstein von brainstorm hes usually pretty smart about these things
i drive a chevy cavalier,oh dear lord
im at work,at sixthirty in the morning
sheldon,its a physical relationship too handholding hugging even on hot days ow okay heres a new one apparently now we kick each other in the shin under the table how do you like it when i do it to you not so much huh
sorry buddy,ooh i think shes a fan of garfield as well oh darn it now so am i
wait cybernetics is robot stuff right,correct
that was an hour ago sheldon a jew sits in front of a house in texas that long for sale signs start to go up i take it things didnt go smoothly with your mom,no im not sure how were going to get past this
thats nice too bad its wrong,what do you mean wrong
you guys doing okay down there,please keep this channel clear for emergencies thank you
because your friend was rude to her and then you went to dinner with him,youre just repeating what i said its like living with a lactoseintolerant parrot
no,then this is my first date
oh no a little electrical tape some solder are you insane ive seen space probes that crashed into the desert that were in better shape than this,youre right montes gone well bury him in the morning a simple ceremony ill speak leonard youll play your cello
well come back to that one this brings us to the final item in our annual state of the relationship summit item 29 valentines day,ah the worst for last hmm classic flakey
hi sheldon,hi
you okay,no im a little rattled but like the flag over fort sumter im still here and take two hello im dr sheldon cooper and welcome to the premiere episode of sheldon cooper presents fun with flags over the next 52 weeks you and i are going to explore the dynamic world of vexillology
millions of dollars being showered on poets literary theorists and students of gender studies,oh the humanities
oh its nice you got him that,oh this isnt for leonard no amy bought it for me
oh yeah wasnt that the basis of your postdoc fellowship,it was this seemed so elegant at the time but now i realize i was just a simple country boy seduced by a big city theory with variables in all the right places
but dont look,dont look
oh no are all the machines taken what are you gonna do,no problem ill just do my laundry another night
youre welcome,good night
whats important,details leonard the success or failure of our deceitful enterprise turns on details
which one,it doesnt matter you cant possibly win
its up to you crazy persons choice,well first we dont have house guests frankly if i could afford the rent id ask you to leave
well well we might want to live together,oh yeah well ive already given this some thought and im willing to let penny live with us one day a week for a trial period now obviously not when shes made cranky by the shedding of her uterine lining
thank you,stand by for my upcoming tat
sorry walking tree,last one
i am such an asthmatic dumbass i had a weird night,mine was great im going to be a mommy
me well how am i supposed to fix it,simple you want a girlfriend amy wants to be someones girlfriend take her off my hands i give you my blessing
and that he loved the companionship and the wisdom that his own father failed to provide,your parents made the right decision
what,evolution has made women sensitive to high pitched noises while they sleep so that theyll be roused by a crying baby if you want to avoid waking her speak in a lower register
okay good luck,wait what am i supposed to do
sheldon i got this,you clearly dont what my spineless friend lacks the courage to say is youre a terrible person who took advantage of his tiny size his uncoordinated nature and his congenital lack of masculinity
oh for gods sake,but shes not my favourite of the xmen in order that would be wolverine cyclops oh wait i forgot professor x professor x wolverine cyclops iceman then storm angel the beast oh wait nightcrawler professor x nightcrawler wolverine cyclops iceman then storm angel
guys there are four of us and one of him,which means his triumph will be even larger minstrels will write songs about him
well i can so shut up,do you realize that in less than nine hours arthur jeffries aka professor proton will be in our apartment
you know what i can honestly say if we fall in love not only will i drive you there i will buy you all the dragon tshirts you want,okay babe lets do this
you reported me to human resources,you violated the sanctity of my mouth
what are we doing this is a fort lets sit on the floor,roughing it okay everything looks so big from down here this must be how leonard feels
im gonna miss you,of course you are
interesting i usually just have coffee youve been up all night,is it morning
well can you make it soon thereâs a battle royale going on over the seating charts in one corner bernadetteâs mom and the other three mine,yeah i hate wedding receptions i wish the bride and groom would take a cue from bilbo baggins slip on the ring disappear and everyone goes home
zack,all right lets start over what did you say when zack walked in
its not soup its courage,no it isnt but i suppose it does take courage to demonstrate that kind of commitment to soup
or if we could figure out a way to supercool the materials we could utilize quantum coupling,well i wonder if anyones tried that
hold on wil and amy had an argument,yes quite the kerfuffle
can you please just let it go,oh i can help you with that imagine youre holding an ordinary pen while your favourite pen is safe and secure in your pocket
i mean the whole landscape of false vacuums in string theory could be as large as ten to the fivehundredth power in addition ooh look chocolate milk,i sense a disturbance in the force
all right you brought this on yourself sheldon get him,if a zombie bites you you turn into a zombie however if a mummy bites you all you turn into is some schmo with a mummy bite so like a zombie thats been eaten from the waist down you sir have no leg to stand on
prove it,knock knock
you dont honestly think that do you,leonard i assumed you knew the ranking of relationships in our circle by quality is me and amy howard and bernadette raj and his girlfriend penny and chardonnay penny and you
youre still awake,for a man whose last observation was our universe may be the surface of a multidimensional supercooled liquid youre still awake seems like quite the sophomore slump
no,i do and yet im doomed while you live on
yes i did good right,yes amy are you worried that us living together will take the mystery out of our relationship
oh my god what the hell does this have to do with my stupid shoulder,episodes of sub psychotic rage
good morning,hello
i cant get the damned key out,well thats not surprising that baldwin lock on your door uses traditional edge mounted cylinders whereas the key for your volkswagon uses a centre cylinder system
how are you gonna get james earl jones,simple earlier today he tweeted that hes looking forward to going to his favourite sushi restaurant for dinner i googled an interview from four years ago which was conducted in his favourite sushi restaurant thats where hell be and thats where im going and
well i went in there a few weeks ago when you guys werent home and i forgot it there,you were in my why would you what are you saying
oh no,what
iâm sorry what,a date you and me dining dancing perhaps youâd like to take in a prizefight
no no of course not just have your relationship someplace else,may i point out that for eight long months i suffered in silence as your female companion filled our apartment with her offkey country music caterwauling the unappetizing spectacle of her grinding a pumice stone against her calloused feet in our living room and night after night of uninformative tv documentaries about the jersey shore
sheldon you are not in charge,thats mighty sassy for a man with a roommate performance review around the corner
oh uh priyas calling in a few minutes on skype and we are gonna have a dinner date,its eight oclock in the morning in mumbai how can she have dinner
okay now that youre back on the team lets get you caught up,before you begin let me say again how deeply sorry i am for my earlier behaviour and how much i respect and admire your leadership
hang on you travelled across the entire country and never left a train station,why would i thats where all the cool trains are
please iâm asking you as a friend,are you making this a tier one friendship request
actually i did get you something,but what about our agreement
your old tuesday hamburger will be so broken hearted,way ahead of you i was thinking of moving big boy to thursdays and just dropping soup plantation
i have no immediate plans,if that changes let me know and finally area rugs pro or con
im mad at you how could you just go away like that without even saying goodbye and then call leonard for help instead of me,amy may i please have a moment of privacy to speak with my roommate
i uh i guess youre probably wondering whats got me down,actually i was wondering if i could add a third new chess piece how do you think people would feel about prince joey the kings feebleminded but wellmeaning cousin
there you go,amys right he is tedious
und ich bin eine pretzel,und dis is sheldon cooper presents fun
yeah he came into the restaurant sorry the napkins dirty he wiped his mouth with it,i possess the dna of leonard nimoy
okay ill be right in,its not enough that she mocks me but that isnt even the correct procedure for a cootie sht
irasshaimase,stop yelling im not happy about this
sheldon its me,but meemaw just made cookies
what do you want,remember how leonard told you we couldnt come to your performance because we were attending a symposium on molecular positronium
what are we supposed to do now,the only thing we can do watch tv on our phones until the criminals return and bludgeon us to death in our sleep
squeeze yourself,oh dont be offended you know of the four of us you have the most veallike consistency
yeah thats terrific but what they wanted me to ask you was to cut it the hell out right come on guys come on happy birthday to you happy birthday to you,we might as well stop its a stalemate youre bat me in tetris but youve got the upper body strength of a keebler elf
i must say sheldon youre handling this dvd business with an impressive amount of maturity,i dont know why that surprises you im a grown man as should be evident by this sport coat and very real flower in my lapel
um actually can we do it in private,all right go away i agree its rude but she asked for privacy
yes dirty dirty dirty dirty which brings me to our next order of business,fascinating
yes hes new at the zoo,its a terrific book ive distilled its essence into a simple flowchart that would guide me through the process
do you want to do this or not,im sorry proceed
hows that been working for you,oh like a charm unnamed crewman in a red shirt
no one told you to poke the turtles face,i was playing got your nose thats how you get children to like you
dont worry sheldon well be fine,what happened to the leonard hofstadter who waited in line with me for 14 hours to see the midnight premiere of star trek
something youd like to share a tale of woe perhaps,fifteen years old dennis kim is fifteen years old and hes already correcting my work today i went from being wolfgang amadeus mozart to you know that other guy
sorry somebodys sitting there,who
sheldon get in here,i shouldve picked hickey
yeah i bet you anything its just cause youre a pain in the ass,youre just saying that to make me feel better
mmm doesnt matter half the time he just ends up playing with the box,yeah its journals and research papers i wrote as a child
how ya doin buddy,i was humiliated on national radio how do you think im doing
do it,you mess with the bull you get the horns im about to show this guy just how horny i can be
oh thank you,may i come in
fine get another deck and ill do the trick with that,so youre saying this is a regulation deck
whats the big deal raj bailed so we could use some extra players,well ive just never played dungeons dragons with girls before
maybe you want to put the notebook away and talk to me,i can do both my brain is working at optimal capacity i can have a conversation with you and solve the dark matter proton decay problem at the same time
im sorry i dont get the point,well of course you dont get it i havent made it yet youd have to be psychic to get it and theres no such thing as psychic
youre right im fine im wearing this,really a blazer all right yes hello this is dr sheldon cooper yeah im at 2311 north robles avenue yeah id like to report a dangerous wild animal a blue jay im sorry this is animal control i dont understand the laughter no the bird is not in my home if he was in my home i obviously would have called 911 sir i have no doubt that there are things that youre frightened of being stuck in a deadend public service job or your wife stepping out on you because youre stuck in a deadend public service job or spiders dont you think i tried making cat noises
why not,according to an online message board i may be having a panic attack soccermom09 had similar symptoms but to be fair the twins were a real handful that day
okay give me the flowers and pie,but if we show up and youre holding them shell think theyre only from you
and hes only fifteen years old,not bad i myself started graduate school at fourteen
all right,yeah i bet you leave your patients in stitches that was also humorous
yeah its cute thats the problem i dont need other girls to see him walking around like sex on a stick,shes right im too hot
well its a lot smaller its more about the comic books the way these conventions used to be before they went all hollywood,so to answer your question no its not better
and what,and a third person its threeperson chess i must say ever since you started having regular intercourse your mind has lost its keen edge you should reflect on that
come on come home with us and tomorrow ill ill take you to legoland,legoland is not the solution to everything and its too much of a scene since that movie came out
okay,bippityboppityboo
no no listen to me sheldon misunderstood what i meant was if we worked together thered be too much of me for you not the other way around,howard if youre going to lie to your wife dont start the sentence with sheldon misunderstood thats a dead giveaway
okay we need to talk,about what
uh okay,my mother dragged me there and she plopped me down on your lap and you asked me what i wanted for christmas and i told you my poppop because that was the year my grandfather died i missed him and i wanted him back
thats great try to set up something for the three of us to go over there,oh hold on while im comfortable speaking about science im not sure i know how to spark the interest of schoolchildren better google it
welcome to long island tex,amy deserves better you know when we buy the planters deluxe mix she eats all the brazil nuts so i dont have to look at them shes a unique blend of saint and squirrel
on our date sheldon thats not okay,yes it is theres a loophole in the relationship agreement
the answer is minus eight by alpha,hang on hang on a second thats not our answer what are you doing
well i earned it dude i ate all my broccoli,and heres where we are the runts in a large litter unlikely to ever reach the nourishing teats of indiana jones
oh i did spend a lot of my shower time with lieutenant uhura,howards disturbing recollections aside i dont appreciate being forced to do banal committee work
fine ill change,hahhah
no,i see apparently my earlier inquiry regarding you and leonard crossed some sort of line i apologize
its just not a good time,leonard has a lady over
what,after you used the facilities at the gas station did you make a purchase
oh yeah show me in microbiology the most exciting thing i get to work with is yeast,howard
oh great well the key to acquiring proficiency in any task is repetition,with certain obvious exceptions su1c1de for example
well yes and youre listed as chief executive officer chief financial officer and chief operating officer,you missed chief science officer chairman of the board and head of the secret santa committee
i wanted to be alone,would you like to talk about it and keep in mind that no is a perfectly viable answer
hi sheldon,good morning dr stephanie i trust leonard satisfied you sexually last night
what did penny mean youd make a cute couple,well i assume she meant that the two of you together would constitute a couple that others might consider cute an alternate and somewhat less likely interpretation is that you could manufacture one as in oh look leonard and lesley made mr and mrs goldfarb arent they adorable
how was it resolved,it wasnt his wife set their dogs on me and rendered the question moot
you cant stay there forever,actually i have a plastic baggy strapped to my leg that says i can give up wolowitz youve chosen to tangle with a superior intellect you cant defeat there is nothing you could possibly do to
what do you mean youre moving out why,there doesnt have to be a reason
no,no
yeah its a deviated septum the surgery to correct it is simple hes gonna do it next week,why would you have surgery
i would guess a wavefunction and then vary its parameters until i found the lowest energy solution,hmm do you know how to integrate x squared times e to the minus x without looking it up
okay well how about this from the university web site 7pm to 10pm norton hall multipurpose room mixer for grad students and faculty of the science and humanities departments whether you split atoms or infinitives this is the place to be,well thats certainly amusing but i have no interest
you got me something,oh not just something no its from the heart its holidaythemed and i swallowed the gift receipt so you cannot return it
tons ive had like eight dates in the last month and twelve if you count the ones who showed up and left,i cant bring the nitrogen tnk down
why,because
whoa somebodys auctioning off a jewelled ostrich bridle,no glenns was leather he was a simple ostrich is is i havent given up hope
i dont want to watch saturn 3 deep space nine is better,how is deep space nine better than saturn 3
i know you dont like it but every time you do an interview it raises the profile of the university that translates to funding,yeah well im not just some trained monkey dancing for coins
fifty six,amy whats going on
i did,very well would you be interested in knowing that mr wolowitz once snuck onto my world of warcraft account and changed the name of a certain level80 warlock from sheldor to smeldor
consider this what is the purpose of a toy,to be played with
if youre gonna be a crappy teacher then im gonna be a crappy student uh uh ludacris going in on the verse cause i never been defeated and i wont stop now,will you stop it this is a classroom this is not american bandstand
august 7 8,there are some charts in the back where i kept track of shape colour and consistency
can you believe its been eight years,yeah and youre still eating our food
you and amy good,oh better than good
i dont hate you i love you,well you call it love but it has a lot of raisins in it
look at that i got a date with penny i cant believe it took you a whole year,now
yeah yeah ill be right there look sheldon i have to go,all right lets assume ad argumentum that in this case leonard is wrong
penny and bernadette went shopping for bridesmaids dresses without me,and that made you feel sad
what makes you think she wouldnt have sex with me im a male and shes a female,yes but not of the same species
woah leonard and priya are living together thats big,no origami napkin swans thats the headline
whats next,this is the very copy of the handbook of chemistry and physics in which i looked up the reaction rates of mendelevium and
oshikuru,and its not a cartoon its anime
sheldon,its okay
family,too bad if itd been a friend im available to fill the void its just as well she smelled like moth balls
okay,in a tall glass with a lime wedge
no traffic were sailing,yes like were on a ship coming from africa to america
yeah sheldon can i ask you a question,of course
oh,sheldor back online
uh i guess theyre right over there by the wooden train set,oh i love trains
morning,morning
for your information emily is working tonight,yeah one would assume on getting out of the pit
is it possible were having two different conversations,how would i know im not listening to you
sheldon 2 0,exactly now i am not saying that i should be the sole decider of who you mate with if youre not attracted to the suitor then the likelihood of conception would be reduced
that is the worst isnt it,yes
oh uh yeah i was trying to see if i could laugh as a woman,oh well good job quite convincing i smell perfume
please dont push this,he does that all the time doesnt he 15
yep,thats the sauce my mother uses she likes cooking italian because according to her thats what the romans made jesus eat
well i cant read peoples minds actually thats not true i can read mens minds but only cause its usually the one thing,when are we going to get robot eyes
holy smokes,if by holy smokes you mean a derivative restatement of the kind of stuff you can find scribbled on the wall of any mens room at mit sure
yeah,in case it comes up again this right here is an imposition
well it was either this or another hot tub party at george takeis house,im confused i thought since our reconciliation i was your friend in this group
no,oh oh oh was he the one who made you eat your arm hair
here you go be creative whats the matter scared of a little turbulence,no turbulence is just the equalization of diurnal temperature variations in the atmosphere im not scared at all oh apple juice stay where you are
